,stars,review_body,review_title,language,product_category,opinion
4458,3,Le survêtement est de bonne facture mais malheureusement trop petit si vous le commandez prenez une taille au dessus Pour ma part je vais le recommander une taille au dessus,Dommage,fr,apparel,mixed
1667,4,Très bon produit . Cependant j aurai aimé avoir une explication d utilisation pour chaque pinceaux . Manque le pinceau à levres,Bonne qualite,fr,beauty,satisfied
1776,4,Commande arrivée en temps et en heure. Produit déballé mais pas encore installé. Semble de bonne facture mais à voir à l'usage.,Produit conforme à la description.,fr,home_improvement,satisfied
2710,1,Très déçue même pas une semaine que mon homme l à porté il est déjà cassé nul on devrait me rembourser,Mauvais article,fr,furniture,non satisfied
10955,2,"The flavor was ok but I would not consider these small tablets to be quick or fast dissolving. Even after 30 seconds under my tongue they did not completely dissolved, only softened enough to make swallowing easier. But these tablets are so small they could be swallowed easily without dissolving. If you are wanting a SL tablet (one that dissolves under your tongue) then I would not recommend this tablet.",B-12 Tablets,en,drugstore,mixed
3074,2,Ma chienne veut seulement le manger et pas jouer avec.,Pas adapté à ma chienne,fr,pet_products,non satisfied
9527,1,"Within a couple of weeks the center of the futon was sagging, and by the 2 month mark was completely flat in the middle, even with regular rotation. Could not sleep on it without rolling into the center. Worst futon mattress I've ever had, and no returns.",Worst futon mattress I've ever had,en,furniture,non satisfied
11286,2,Kind of bulky and heavy for me. I returned them,Two Stars,en,sports,mixed
6472,5,"Nice band, came with 4 quick release pins and all tools necessary to remove links.","Nice band, good value package",en,wireless,satisfied
868,4,bon rapport qualité prix,très bien,fr,pc,satisfied
10803,2,Very disappointed with the packaging. FedEx driver handing me a thin plastic bag with no protection at all. Box was ripped and had some dents on the corner of the battery.,Damage package,en,automotive,mixed
6914,3,"I funny know why I have to pick a ""fit"" to leave feedback for a blowup bay. Would've been cooler if it was a foam bat as it kept flopping over every time I tried to hit someone with it. But nice and cheap accessory for the costume.",Blowup Bat Just Okay,en,apparel,satisfied
11972,2,"This was exactly what we wanted BUT when we went to hang it at the party, it was missing the metal hanger to string it up and actually use it! How disappointing! We ended up just emptying the candy onto a table and letting the kids come grab it. If you buy it, note you'll have to put your own hanger on it. I feel like this is a standard pinata feature...",Missing hanger...,en,toy,mixed
11795,2,"The instructions sent with the item were incomplete, they only got you half way through the process.",Instruments issues.,en,wireless,mixed
9856,1,The package was disgusting when I got it and although the discs are okay the packaging looks like it was stepped on and thrown across a room,Wouldn’t buy again,en,kitchen,non satisfied
267,5,"Matière douce, le changement de couleur de la lumière est très doux et agréable",très satisfaite,fr,home,satisfied
7734,5,It is so cute and comfortable.,Love this t-shirt,en,shoes,satisfied
8933,1,"The film simply blamed this young woman for men raping and mistreating her. The woman did not cheat on any one but was sexually free and she is demonized for it while no accountability is being passed to the men who were in relationships, in power, or who raped her. The movie only shows her as one dimensional and viewers have little info about how or why she is in the predicament that she's in. This movie is disgusting. Very poorly done. Seems like the writer has a personal problem with Nichole that maybe he should try to resolve. Smh",Misogynistic,en,digital_video_download,non satisfied
10185,2,Product only lasted three months before it simply stopped working all together.,Doesnt last,en,home,mixed
4411,3,S emiette sur les côtés. Mais à tenu sa promesse de protéger mon écran de portable.,Bof,fr,wireless,mixed
4453,3,prévu pour un cable alors que le faisceau de la remorque (RD) en comporte deux. la coque et le verrouillage arrière épousent bien la prise de connexion.,devrait convenir apres adaptation du passe- cable,fr,sports,mixed
1114,4,"jolies petites boites qui correspondent exactement à la description faites sur les commentaires , je recommande cette achat a bientôt",lot de 24 coffrets cadeaux,fr,home,satisfied
11044,2,"At first I was hooked. But then, the story became slow paced, twisted, farfetched, unbelievable. I really didn't enjoy it.",Too farfetched,en,digital_ebook_purchase,mixed
7825,4,"I wear size 6.5 and have fairly wide feet. Got size 6 and size 7, meaning to keep the better fit, but even size 6 was too large. Too bad for me, because I liked these unpretentious flip-flops and would have wanted to keep them. Unfortunately, there was no size 5.",Large for the size,en,shoes,satisfied
2402,1,Juste du buzz pour ce produit ! Une grosse blague malheureusement ! A fuir !,Non,fr,drugstore,non satisfied
8287,1,Did not fit my truck that was listed in the description,Did not fit as advertised,en,automotive,non satisfied
9513,1,I can't tell any difference from when I take them and when I don't.,Seem to do nothing...,en,drugstore,non satisfied
9970,1,Unlike the silk sleep mask this stiff sleep mask does not conform to your face. It sits way from your face allowing lots of light. It also is less comfortable. Not recommended.,Useless,en,drugstore,non satisfied
5920,3,"J'ai reçu ce radiateur soufflant aujourd'hui 12/12/2017 colis arrivé en parfait état, a première vue tout fonctionne bien, a voir sur le long cours.",A voir,fr,home_improvement,mixed
646,5,Montage ultra simple et boîtier spacieux,Corsair,fr,pc,satisfied
2659,2,"J’étais satisfait de mon achat, mon chiot de 3 mois profité pleinement de ce tapis pendant la canicule. Malheureusement, un coup de dent, pendant mon absence, aura suffit à vider le tapis de son produit par le dessus…",Ce tapis aura duré 3 jours…,fr,pet_products,non satisfied
9347,1,Lasted a month and now cannot hold a charge,Buy another flashlight,en,other,non satisfied
10349,2,"Easy to install, but broke leat than 2 months after my install.",Two Stars,en,home_improvement,mixed
3423,1,Installé depuis 3 Jours en plein soleil (juin) La batterie se décharge.,Ne charge pas,fr,other,non satisfied
4921,3,"Le produit fonctionne très bien, et le son semble convenir à mon fils. En revanche, à éviter si votre enfant écoute de la musique en voiture, vous aurez en permanence l'impression d'être suivi par la police ou les pompiers avec ces LEDs qui clignotent tout le temps...",Impossible d'éteindre les LED,fr,electronics,mixed
3149,1,"Achat destiné à la répartition d'une couture de canapé rompue. Le kit a fait le job, mais le matériau des aiguilles n'a pas résisté au torsion inévitable pour passer le fil. (pourtant j'ai manipulé les aiguilles du bout des doigt, sans l'usage de pinces). Du coup, trois aiguilles on été utilisées avant de se brisées pour une répartition.","Kit très bon marché, mais pas asser solide pour du cuir.",fr,home,non satisfied
4201,3,"Produit acheté moins cher soi disant parce que seulement l'emballage était détérioré ! Le problème n'est pas l'emballage détérioré mais le fait qu'il n'y avait pas les piles fournis avec !?! et les pré trou d'installation était déjà perforés, donc le produit avait déjà été utilisé et retourné à Amazon et remis en vente sans vérification !!! c'est quand même pas normal de la part d'Amazon ! Tromperie sur la marchandise donc ! En effet les piles fournis avec le détecteur sont spéciales car elles durent très longtemps ( 4 ans ) alors j'ai du en racheter dans le commerce, et même les plus cher d'après le vendeur durent nettement moins longtemps que celles vendues avec mais qui malheureusement n'était plus là … Mais à qui s'adresser ?",DESCRIPTION NON CONFORME DE LA VENTE,fr,home_improvement,mixed
654,4,Pratique et bien adapté,Plus de confort pour le chien,fr,pet_products,satisfied
398,4,Conforme à mes attentes.,Conforme,fr,electronics,satisfied
10421,2,My dog wouldn't eat this bone. Was hoping she would do so to help clean her teeth. I'm sure this is individual dog though.,My dog wouldn't eat this bone. Was hoping she ...,en,pet_products,mixed
8675,1,Didn't function very reliably. Maybe DL in a few months for bug fixes??,Quirky browser like hole in Kindle Fire 'Silk' boat,en,other,non satisfied
8809,1,"To flimsy. Don't care about rolling into small carry bag. Not what I want out of day pack, but might be right product for others.",To flimsy. Don't care about rolling into small carry ...,en,other,non satisfied
8339,1,To small for my dog.,To small,en,apparel,non satisfied
9333,1,I am not satisfied with the Lyft Gift Cards as they are not treated as regular cash. If you have a gift card associated with your account any discount is not applied automatically a. You must change your election of payment post your ride.,Don’t buy a gift card. Give Cash!,en,other,non satisfied
6887,4,"This is a nice product ans simple to use, but the opening is small so it is difficult for my cat to drink from this bowl. The opening in not deep enough.",Okay,en,pet_products,satisfied
9827,1,Awful didn't even stick and most likely because it has the wrong radius curve for the s8,Doesn't stick,en,wireless,non satisfied
2107,2,"N’a pas résister à un gros tournevis, mais bon il a fait son usage pendant 1 an. Sinon pratique à l’installation.",Un peu fragile,fr,home_improvement,non satisfied
472,4,"pas très haut en effet, il n'empeche pas de passer par dessus si l'enfant le veux, mais il l'empeche de rouler par terre quand il dort",efficace,fr,baby_product,satisfied
7695,4,"We really like these chairs... but we don’t love them. They look good, they’re sturdy, and fairly comfortable. Also, lightweight and they came fully assembled. There are a few rough places that can catch fingers or clothing but that hasn’t happened because we are careful. I do recommend them especially at this price point.",Like A Lot... Don’t Love,en,furniture,satisfied
10991,2,I ordered the Rose Gold color and it’s huge difference between picture and them in real. It seems like I got Gold color instead of Rose gold,Color on picture and in life are not the same at all,en,watch,mixed
2553,2,Je n’est pas aimé la coque qui se salit extrêmement vite et grossit énormément le téléphone,Coque iPhone 8+,fr,wireless,non satisfied
3362,2,Ma fille de 5ans s'ennuie à mourrir avec le GS et la mon fils idem avec le MS... j'aurai aussi bien fait de lui acheter un cahier de coloriage...je suis très dessus. A tout les page de gauche c'est la même chose à l'initiative du maître!,Bof bof bof,fr,book,non satisfied
5268,3,"Parfait pour l’utilisation, sauf pour le ""Always On Display"" + La petit linguette collé sur la gauche.",Tout petit bémole,fr,wireless,mixed
2486,2,"Je ne doute pas de la qualité de ce flash comme de l'ensemble des produits Nikon, mais Amazon a eu la bonne idée de livrer un flash en provenance d'Espagne, et donc avec des manuels en espagnol... Certes, le manuel d'utilisation peut être téléchargé sur le site Amazon, mais l'intérêt est aussi d'avoir une notice facilement utilisable, et donc en version papier. En outre, le manuel d'utilisation est accompagné d'un guide d'exemples en couleur, qui n'est pas téléchargeable sur le site Amazon. Je vais donc devoir puiser dans mes très lointains souvenir d'espagnol au collège...",Manuels en espagnol,fr,camera,non satisfied
2796,2,"Au bout de quelques jours d'utilisation ça se décolle,",Moyen,fr,home,non satisfied
1351,4,Idéal pour petit stockage,Bien,fr,pc,satisfied
3921,2,"Au début c'est bon mais très vite le gout devient moins agréable. Très bon dans le lait et pas du tout dans le café, comme les sucrettes.",Presque bon,fr,grocery,non satisfied
2678,2,"Je ne sais pas trop quoi dire, ce lecteur parait lire les Blu Ray mais impossible de l'ouvrir peu importe le logiciel essayé... j'ai l'impression qu'ils sont conçus de façon pouvoir graver mais pas lire les Blu Ray, décue de mon achat, j'ai finalement branché mon lecteur DVD/Blu Ray sur l'écran de mon ordinateur...",Dubitative,fr,pc,non satisfied
556,5,Produit de belle qualité. La couleur est conforme à la photo. L'étui assure une protection efficace du téléphone. Produit livré dans un bel emballage. Je suis complètement satisfaite par ce produit.,Etui pour Iphone,fr,wireless,satisfied
3353,2,"J'attendais une veste colorée et j'ai trouvé ce que je voulais sur ce point. Par contre, le tissu fait cheap, genre veste de sport en coton. Je m'attendais à quelque chose de plus classe. Bref, je l'utilise pour aller me balader en mode détente. Ne protège pas pour l'hivers. la taille correspond à ce que j'attendais.",une veste mais pas aussi classe que sur la photo,fr,apparel,non satisfied
7657,3,The product was not bad but I hated the smell.,smell of the product,en,beauty,satisfied
2735,1,"Après moins de 6 moins et quelques utilisations (une dizaine), la machine n'aspire plus du tout. Peut être un coup de malchance mais je ne recommande pas le produit car impossible de l'échanger et pas de garantie.",Plus d'aspiration au bout de quelques mois,fr,kitchen,non satisfied
6561,3,It is so hard ... real white rabbit is soft,Three Stars,en,grocery,satisfied
9436,1,Pathetic broke not even a month,Bad,en,home,non satisfied
412,5,Le produit correspond tout à fait à sa description. Le prix est probablement l'un des plus bas du marché et la livraison s'est faite le surlendemain de la commande. Je recommande grandement,Produit et service irréprochables,fr,drugstore,satisfied
2647,2,J’imagine ce produit pour éclairer les cimetières... car ça fait cimetière en journée et Halloween la nuit,Idéal pour les cimetières,fr,home,non satisfied
6993,4,Great for traveling - I leave in suitcase so they are always there when I travel,"Compact, space saving",en,home,satisfied
5500,3,"J’ai aimé le style il est sympa, malheureusement ils sont vraiment trop trop petit pour le coup de l’adulte. Dommage",Beaucoup trop petit dommage !,fr,home,mixed
3417,2,Je ne peu pas me servir du tactile avec la coque,Difficulté de se servir du tactile sans stylet avec la coque,fr,electronics,non satisfied
4722,3,La boîte et déjà bien usée donc pas génial pour ranger la pierre après utilisation...a ce prix là ont attend du durable quand même,Moyen,fr,drugstore,mixed
3512,1,Produit acheté pour la 2ème fois déçu il ne colle pas pourtant la première fois pas de problème déçu.,Produit qui colle pas,fr,wireless,non satisfied
7323,5,"The paper is of good quality. I use it as a composition notebook for my class. These sizes are larger than other composition booklets, these are standard college rule size. They come in very vivid colors.",Great product with quality paper,en,book,satisfied
1548,4,"Pâte à pain et pâtisseries, excellent produit, bien plus silencieux que les robots petits prix, solide.",Excellent produit,fr,kitchen,satisfied
6052,4,This connector allows listening to wired headphones while charging your iPhone. For music the phone connects to this device via Bluetooth. I tried them out on a very long flight. I deducted one star because the unit will kill the USB connector on the plane which is in the seat rest. I had to use the lower 110 AC outlet with a USB charger.,Failed on USB port; worked with 110V AC USB charger,en,wireless,satisfied
5306,3,"Mais, la batterie est vite plate !!!! C'est le gros mauvais point, et quand j'aspire un tapis, j'aimerais pouvoir finir la pièce, mais ce n'est pas le cas. Vraiment dommage !",Bonne puissance d'aspiration,fr,kitchen,mixed
9292,1,"I needed the right-angle plug, but I had to replace the fuse, and found impossible to remove in one piece. The fuse's glass cylinder brake apart, and had to be picked out with tweezers, or miniature needle-nose pliers. I made the mistake of testing whether the 2nd fuse could be pulled out without breaking. The 3rd fuse also broke apart. I was away on a 6 week road trip, and missed the return window.",Fuses break,en,automotive,non satisfied
11841,2,"Cheap. Top broke within a week when only the top it was dropped onto the floor. The plastic is very brittle. Very noisy, and poorly designed. I ordered another chopper within a month.","Cheap, poor quality and design.",en,kitchen,mixed
4960,3,Parfait pour ma table en verre. Seul bémol ils ne tiennent pas à la perfection.,Très bien mais ...,fr,home_improvement,mixed
7370,3,So that case is pretty flimsy and the glass screen protector they send with is on the small side but it gets the job done I guess. I’m probably gonna go back to cases though.,It’s alright.,en,wireless,satisfied
5320,3,"Installée sur un IPhone X tout neuf. Une notice contenant un code QR a flasher est fournie. L’installation est simple et se déroule bien mais malgré le guide, le chiffon, les autocollants etc l’une ou l’autre bulle d’air apparaît tout de même ... attention aucun droit à l’erreur il n’y a qu’une seule vitre de protection livrée ... cela dit elle a l’air solide à voir dans le temps ... attention Face ID a dû être reconfiguré après pose du film ...",Correct mais pas parfait ...,fr,wireless,mixed
19,5,Produit conforme à la description,Bien,fr,automotive,satisfied
3073,1,"le filetage interne s'est auto détruit, ce qui montre que l'acier utilisé est de bien piètre qualité, 60 jours c'est court.",60 jours d'utilisation,fr,home_improvement,non satisfied
10681,2,"Sound quality similar to small portable Bluetooth speakers in the 5 to 10 watt range. Bass response is weak even with corner placement. There is no way these amps put out 200 watts not even 100 watts RMS. These sound like the small portable Bluetooth speaker in the 5 to 10 watt range, maybe a hair louder if you don't mind the distortion and compression. 2 Oontz Angle 3 Ultra speakers in stereo sound much better. Power supply cord is 3 feet long which limits placement. Returned for refund was quick and easy.",Poor bass low power,en,electronics,mixed
11440,2,This case looks nice unfortunately it does not hold the phone all that great when you have an accident and drop it. It breaks really easy and after the first drop it becomes trash. It is not worth the money for the quality of the case.,Good for one drop ONLY. After that is TRASH.,en,wireless,mixed
11307,2,"For starters allow me to say that the product seems great and feels sturdy enough. I just received the package today and was installing it when I realized there were no keys in the carboard box it came with. It had both sides of the door knob, the middle part as well as the small sheet of metal that goes on the doorframe as well as the screws but there were no keys...I essentially bought this for no reason as I cannot lock it. Again it is a good product, but somehow someone forgot to pack the keys...now I can't lock my room when I go out which was the purpose of buying this in the first place.",I'm not sure if this is some kind of joke but I'm not laughing,en,home_improvement,mixed
9284,1,"Too many ads. Won't let me purchase ad free for some reason. Also, any offshoot of the games and extra purchases can run up to 100 dollars!!",Bullshit in app purchases,en,other,non satisfied
5841,3,J ai acheté ce produit pr faire un colis a mes filles parties en colonie. Produit nickel sauf qu il etait gluant et collant!,Tsum tsum tout mimi,fr,toy,mixed
2856,1,"Cela fait 1 mois que je met ce sérum et rien de plus, rien de moins au niveau de ma peau ou de mes rides. Dommage.",sans +,fr,beauty,non satisfied
